Apple,Fruit,Red,iPhone,Tree,Mac
Beach,Sand,Ocean,Sun,Vacation,Swim
Doctor,Hospital,Nurse,Patient,Medicine,Health
Guitar,Strings,Music,Instrument,Pick,Play
Pizza,Cheese,Tomato,Slice,Crust,Oven
Car,Drive,Engine,Wheel,Gas,Vehicle
Book,Read,Page,Library,Story,Author
Phone,Call,Text,Mobile,Ringtone,Number
Snow,Winter,Cold,White,Ice,Flake
Computer,Keyboard,Monitor,Mouse,Laptop,Internet
Movie373,Object,Device,Animal,Action,Sport
Movie710,Object,Tool,Color,Season,Device
Cloud350,Color,Tool,Place,Emotion,Object
Window862,Emotion,Tool,Animal,Object,Sport
Window383,Device,Season,Color,Object,Animal
Dance543,Place,Tool,Season,Sport,Device
School228,Sport,Season,Color,Object,Emotion
Rocket816,Device,Sport,Animal,Emotion,Action
Cake438,Emotion,Season,Device,Action,Sport
Chair503,Place,Sport,Emotion,Action,Device
Chair397,Tool,Sport,Object,Place,Device
Cake331,Season,Color,Animal,Device,Sport
Movie395,Object,Tool,Color,Place,Season
Window329,Sport,Action,Color,Device,Place
School222,Animal,Action,Emotion,Color,Sport
School104,Color,Season,Animal,Emotion,Tool
Cloud877,Place,Device,Tool,Sport,Color
Rocket389,Device,Color,Action,Emotion,Object
Dance500,Color,Emotion,Place,Animal,Season
Tiger501,Action,Device,Object,Season,Emotion
Bottle755,Animal,Tool,Action,Emotion,Season
Tiger524,Device,Sport,Color,Animal,Tool
Cake300,Action,Animal,Color,Emotion,Object
Cloud147,Color,Emotion,Device,Object,Action
School288,Color,Season,Object,Sport,Tool
Cloud169,Object,Device,Season,Place,Action
Movie770,Tool,Animal,Sport,Color,Device
Bottle764,Device,Action,Sport,Color,Object
Bottle998,Animal,Place,Emotion,Object,Action
Cake951,Animal,Season,Object,Device,Sport
School224,Sport,Action,Place,Tool,Color
Window307,Device,Place,Animal,Emotion,Sport
Chair434,Season,Action,Sport,Animal,Device
Tiger635,Action,Tool,Season,Emotion,Animal
Cake768,Device,Animal,Place,Sport,Object
Cloud84,Action,Tool,Emotion,Device,Color
School504,Season,Animal,Emotion,Sport,Object
Chair978,Sport,Object,Animal,Color,Emotion
Bottle922,Object,Animal,Emotion,Action,Tool
Movie181,Object,Place,Emotion,Tool,Sport
Chair112,Object,Animal,Device,Sport,Season
Rocket1000,Color,Sport,Device,Object,Place
Movie661,Animal,Action,Color,Sport,Place
Window702,Place,Device,Emotion,Sport,Animal
Cake50,Tool,Device,Animal,Action,Place
Movie164,Action,Color,Emotion,Place,Season
Movie559,Color,Sport,Object,Device,Tool
Bottle46,Action,Animal,Object,Color,Emotion
Chair142,Action,Device,Sport,Season,Object
School517,Object,Animal,Device,Color,Emotion
Tiger846,Emotion,Color,Action,Tool,Sport
Window590,Color,Animal,Device,Place,Sport
Cloud589,Tool,Place,Device,Emotion,Sport
Cloud920,Animal,Color,Sport,Season,Place
Chair879,Emotion,Action,Season,Color,Place
Window758,Sport,Action,Season,Emotion,Object
Bottle775,Tool,Action,Emotion,Sport,Object
Cloud927,Tool,Animal,Place,Color,Emotion
School250,Action,Device,Season,Place,Tool
Tiger166,Color,Device,Place,Tool,Sport
